№;x0;x1;x2;x3;x4;x5;x6;x7;x8;x9;x10;x11;x12;x13;x14;x15;x16;x17;x18;x19;x20;x21;x22;x23;x24;x25;x26;x27;x28;x29;x30;x31;x32;x33;x34;x35;x36;x37;x38;x39;x40;x41;x42;x43;x44;x45;x46;x47;x48;x49;Teta
0;20,00;-20,00;-20,00;-0,88;-1,40;-0,59;-0,83;-0,46;-0,65;-0,81;-0,45;-0,58;-0,28;-0,13;-0,29;-0,43;-0,52;-0,65;-0,77;-0,85;-0,91;-0,77;-0,82;-0,90;-0,81;-0,87;-0,94;-1,01;-1,06;-1,10;-1,14;-1,01;-0,89;-0,93;-0,98;-1,04;-0,94;-0,88;-0,92;-0,85;-0,89;-0,94;-0,97;-1,02;-1,04;-1,06;-1,09;-1,12;-1,15;-1,18;0,26;0,74;0,35;-1,05;-1,20;
1;20,00;-20,00;-20,00;-20,00;-1,40;-1,60;-1,77;-1,99;-1,25;-1,38;-1,46;-1,55;-1,59;-1,22;-1,33;-1,44;-1,50;-1,61;-1,72;-1,78;-1,47;-1,25;-1,05;-1,12;-1,23;-1,29;-1,14;-1,20;-1,25;-1,29;-1,14;-1,01;-1,05;-1,08;-1,13;-1,19;-1,08;-1,01;-0,92;-0,85;-0,77;-0,83;-0,86;-0,91;-0,93;-0,85;-0,88;-0,91;-0,94;-0,97;0,3;0,7;0,43;-0,85;-1,00;
2;20,00;-20,00;-0,13;-0,88;-1,40;-0,59;-0,83;-0,46;-0,12;0,15;-0,03;-0,19;-0,28;-0,46;-0,60;-0,43;-0,52;-0,39;-0,28;-0,38;-0,45;-0,55;-0,61;-0,69;-0,81;-0,87;-0,94;-0,83;-0,89;-0,93;-0,81;-0,70;-0,75;-0,78;-0,70;-0,63;-0,68;-0,63;-0,56;-0,62;-0,66;-0,71;-0,75;-0,80;-0,82;-0,85;-0,88;-0,91;-0,94;-0,88;0,34;0,66;0,52;-0,66;-0,81;
3;20,00;-20,00;-20,00;-20,00;-20,00;-20,00;-20,00;-20,00;-20,00;-20,00;-20,00;-20,00;-20,00;-20,00;-20,00;-20,00;-20,00;-20,00;-20,00;-3,01;-2,29;-1,90;-1,93;-1,65;-1,48;-1,29;-1,14;-1,01;-0,89;-0,93;-0,97;-1,01;-0,89;-0,78;-0,84;-0,76;-0,68;-0,75;-0,68;-0,62;-0,66;-0,71;-0,65;-0,70;-0,71;-0,65;-0,68;-0,71;-0,74;-0,69;0,36;0,64;0,56;-0,58;-0,72;
4;20,00;-20,00;-20,00;-0,88;-0,28;-0,59;-0,83;-0,46;-0,12;-0,33;-0,45;-0,19;-0,28;-0,13;0,03;0,15;0,04;0,12;-0,05;0,08;-0,03;-0,15;-0,03;-0,13;-0,26;-0,34;-0,42;-0,34;-0,41;-0,32;-0,37;-0,28;-0,20;-0,25;-0,32;-0,27;-0,20;-0,28;-0,34;-0,39;-0,44;-0,40;-0,44;-0,49;-0,51;-0,55;-0,58;-0,62;-0,65;-0,69;0,36;0,64;0,56;-0,58;-0,72;
5;20,00;20,00;20,00;0,55;-0,28;-0,59;-0,83;-0,46;-0,12;0,15;-0,03;-0,19;-0,28;-0,13;-0,29;-0,43;-0,52;-0,65;-0,77;-0,85;-0,91;-1,00;-0,82;-0,69;-0,62;-0,69;-0,76;-0,83;-0,72;-0,77;-0,66;-0,56;-0,60;-0,51;-0,44;-0,51;-0,56;-0,51;-0,56;-0,50;-0,55;-0,61;-0,65;-0,70;-0,71;-0,75;-0,68;-0,71;-0,74;-0,78;0,36;0,64;0,56;-0,58;-0,72;
6;20,00;20,00;20,00;20,00;0,87;1,27;0,61;0,15;-0,12;0,15;-0,03;-0,19;-0,28;-0,46;-0,60;-0,43;-0,52;-0,39;-0,52;-0,38;-0,45;-0,55;-0,61;-0,69;-0,81;-0,87;-0,76;-0,83;-0,72;-0,61;-0,66;-0,70;-0,75;-0,78;-0,70;-0,76;-0,68;-0,63;-0,56;-0,50;-0,55;-0,50;-0,44;-0,49;-0,51;-0,55;-0,58;-0,62;-0,56;-0,51;0,4;0,6;0,67;-0,41;-0,54;
7;20,00;-20,00;-0,13;0,55;-0,28;-0,59;-0,12;0,15;0,42;0,15;-0,03;0,21;0,09;-0,13;-0,29;-0,43;-0,25;-0,14;-0,28;-0,16;-0,03;0,07;-0,03;-0,13;-0,08;-0,17;-0,10;-0,18;-0,26;-0,32;-0,23;-0,28;-0,33;-0,38;-0,44;-0,51;-0,44;-0,51;-0,56;-0,62;-0,66;-0,71;-0,65;-0,59;-0,51;-0,55;-0,49;-0,43;-0,47;-0,51;0,4;0,6;0,67;-0,41;-0,54;
8;20,00;20,00;20,00;20,00;20,00;20,00;20,00;20,00;1,88;1,20;0,86;0,59;0,45;0,21;0,03;0,15;0,30;0,37;0,20;0,08;-0,03;0,07;-0,03;-0,13;-0,08;-0,17;-0,10;-0,18;-0,26;-0,32;-0,37;-0,42;-0,47;-0,51;-0,57;-0,63;-0,68;-0,63;-0,68;-0,62;-0,55;-0,61;-0,54;-0,49;-0,51;-0,55;-0,49;-0,43;-0,38;-0,42;0,42;0,58;0,72;-0,32;-0,45;
9;20,00;-20,00;-20,00;-20,00;-1,40;-0,59;-0,83;-0,46;-0,65;-0,81;-0,91;-1,01;-1,07;-0,82;-0,94;-0,73;-0,80;-0,93;-1,05;-0,85;-0,67;-0,77;-0,82;-0,69;-0,81;-0,69;-0,76;-0,66;-0,56;-0,61;-0,66;-0,70;-0,60;-0,51;-0,44;-0,39;-0,44;-0,51;-0,56;-0,50;-0,44;-0,50;-0,54;-0,49;-0,51;-0,45;-0,49;-0,52;-0,56;-0,51;0,42;0,58;0,72;-0,32;-0,45;
